"DOR","log10_DOR","Rank","TF_names","row.names","MAM","nonMAM","exprDiff","Specificity","regulon_size"
2.32056127837963,0.365593041193209,24,"MXI1","MXI1(-)",0.45327304880127,0.559101732389326,-0.105828683588056,0.0563138230960907,50
2.30348119105142,0.362384670395545,25,"TCF7L2","TCF7L2(-)",0.38436400903489,0.353984491865814,0.0303795171690764,1.01183638933115,60
2.30021977669305,0.361769333080668,26,"RUNX3","RUNX3(+)",0.0425117104747444,-0.00322687722801883,0.0457385877027632,0,41
2.22851265707503,0.348015105050973,27,"TRPS1","TRPS1(-)",0.427471668414185,0.029510640157059,0.397961028257126,0,7
2.18355400449693,0.339163937528244,28,"CEBPA","CEBPA(+)",-0.0316286509516312,-0.00219793639660086,-0.0294307145550304,0,12
2.16760731767407,0.335980608487292,29,"NR1D2","NR1D2(-)",0.913607448211788,0.734517041244563,0.179090406967225,0,11
2.14118474985826,0.330654141550554,30,"FOXN2","FOXN2(+)",0.0774125330712998,-0.0432747386160636,0.120687271687363,0.0617405994690657,116
2.13306146551648,0.329003370100168,31,"BHLHE40","BHLHE40(-)",0.383431753380642,0.351153738913436,0.0322780144672052,0,28
2.11250537343694,0.324797822308615,32,"NR4A1","NR4A1(-)",0.580779320389684,0.509638541035249,0.0711407793544349,0.102906023547701,6
2.09400302289259,0.320977304288679,33,"CBFB","CBFB(-)",0.270560590166599,0.179577612843099,0.0909829773234999,0.00282887201630908,9
2.02753657422171,0.306968697082654,34,"RB1","RB1(-)",0.205274932142813,0.00400990955505511,0.201265022587758,0.508540086794454,11
2.02541085065475,0.306513132278547,35,"GTF2B","GTF2B(-)",1.50602865838859,1.5076287757194,-0.00160011733081578,0,15
2.02376326919559,0.306159709306597,36,"TRIM28","TRIM28(-)",0.95796425669744,0.794185071221465,0.163779185475975,0.262144936198312,18
1.95170445326446,0.290414053067225,37,"RXRA","RXRA(-)",0.955385805715053,0.747581543080087,0.207804262634965,0.431158608873938,13
1.9514167594092,0.290350030533855,38,"AHR","AHR(+)",0.0584346074688556,-0.0649220010941741,0.12335660856303,0.17623103689758,26
1.90834126849835,0.280656042156656,39,"DDIT3","DDIT3(+)",0.174732830578571,0.16941253598483,0.00532029459374056,0.200240738189244,61
1.86939937683786,0.271702093582156,40,"PLAGL1","PLAGL1(-)",0.55379761155021,0.233825135968478,0.319972475581732,0,2
1.85144521489624,0.267510865604868,41,"TAGLN2","TAGLN2(+)",0.336730623151926,0.368720150938389,-0.0319895277864631,0.31163017570099,57
1.79672881925394,0.254482533876438,42,"RCOR1","RCOR1(-)",0.461825419177394,0.422467482909642,0.0393579362677524,0.947971073979334,62
1.70648861774473,0.232103395886184,43,"GABPB1","GABPB1(-)",0.509899552913072,0.606800381999188,-0.0969008290861159,0,6
1.66047810367553,0.220233153035524,44,"RREB1","RREB1(-)",-0.172629688681624,-0.270514489637357,0.097884800955733,0,3
1.61860200670198,0.209140074484222,45,"TGIF1","TGIF1(-)",-0.0216613481020843,-0.0560238978891216,0.0343625497870374,0,12
1.61380463443073,0.20785095831407,46,"ARID3A","ARID3A(+)",0.0589905623631809,-0.0657662451331435,0.124756807496324,0.0215240861238383,40
1.60604240251529,0.205757007278472,47,"NR2C2","NR2C2(-)",0.845013038231413,0.775480700003967,0.0695323382274466,0.194199818353639,28
1.60314203503379,0.204972001642197,48,"AHR","AHR(-)",0.779748517647534,0.580531866199655,0.199216651447879,0,7
1.58918088963293,0.201173333895995,49,"SMAD7","SMAD7(-)",0.363370534150211,0.224039202226824,0.139331331923387,0,6
1.56333107720286,0.194050961241228,50,"KLF9","KLF9(+)",0.043429047165573,-0.0499887973277204,0.0934178444932934,0.109994191625889,25
1.56234026514657,0.193775625688682,51,"ZEB1","ZEB1(+)",0.0191168337986287,-0.0428273667244236,0.0619442005230523,0,33
1.54522655687136,0.188992163492702,52,"NFATC2","NFATC2(-)",0.196940225196135,0.25168994560191,-0.0547497204057748,0,18
1.52527147558605,0.183347148506489,53,"GMEB1","GMEB1(+)",0.203482368356547,0.0193157769986162,0.184166591357931,0,6
1.47936302736353,0.170074760497665,54,"TAF1","TAF1(-)",0.926318043033281,0.898831521585142,0.0274865214481397,0.0301231564058186,32
1.38743148541797,0.142211545856269,55,"YY1","YY1(+)",0.096424980245606,-0.0154256459349968,0.111850626180603,0.0830963197606763,28
1.38183452073689,0.140456037948594,56,"MEF2A","MEF2A(+)",0.0291248898022525,-0.0771258000055687,0.106250689807821,0,13
1.33871181411596,0.126687096048879,57,"EPAS1","EPAS1(+)",0.116307170340275,0.0570144989521862,0.0592926713880889,0.042416356535385,72
1.32849917434877,0.123361288835957,58,"STAT1","STAT1(-)",0.92119682217362,0.898446110135282,0.0227507120383378,0.494054089335226,29
1.31468329069687,0.118821143191706,59,"TFCP2L1","TFCP2L1(+)",0.0187799713527371,-0.0509747987988068,0.0697547701515439,0.00320651278163393,9
1.30188475087883,0.114572540090294,60,"TRIM28","TRIM28(+)",0.16255707036393,0.24255489500277,-0.0799978246388404,0,22
1.29114484105084,0.110974964296414,61,"ZBTB7A","ZBTB7A(+)",0.0234704783824395,0.00488001585253959,0.0185904625298999,0.0270622992683255,61
1.2708160990284,0.104082707945251,62,"USF1","USF1(+)",0.0927285118958853,-0.00687353513034054,0.0996020470262258,0,30
1.26441143282659,0.101888414082324,63,"NR2C2","NR2C2(+)",0.0895354608354655,-0.0159556151785225,0.105491076013988,0,151
1.25253895696605,0.0977912423494843,64,"CLOCK","CLOCK(-)",-0.0813178076979992,-0.0928666407520564,0.0115488330540572,0,6
1.25197195815086,0.0975946015926761,65,"BPTF","BPTF(-)",-0.0109885498760289,0.00560875201713084,-0.0165973018931598,0,5
1.24504418650432,0.095184764776714,66,"NFE2L3","NFE2L3(-)",0.863118864862265,0.948708774161395,-0.08558990929913,0,16
1.24171149356616,0.0940207010682837,67,"EGR2","EGR2(+)",0.0419979257387308,0.0452693818988334,-0.00327145616010262,0,17
1.23989861737869,0.0933861757162352,68,"SOX4","SOX4(+)",0.146382636675571,0.134671275807319,0.0117113608682527,0,15
1.19803158932818,0.0784682695474873,69,"TFAM","TFAM(+)",-0.0152789844304071,0.0152612315738603,-0.0305402160042674,0,4
1.19194561597112,0.0762564406202787,70,"ARNTL","ARNTL(+)",0.0724124166113772,-0.0537693441268798,0.126181760738257,0,44
1.14749062188998,0.0597491448602145,71,"XRCC4","XRCC4(+)",0.0640520790188755,-0.0608412621636186,0.124893341182494,0,6
1.13839161012632,0.0562916863653433,72,"RXRA","RXRA(+)",0.0575280129780468,0.118503060911199,-0.0609750479331523,0,12
1.13658558442628,0.0556021434878588,73,"ZC3H11A","ZC3H11A(-)",-0.0507574113281969,-0.0311036863480189,-0.0196537249801781,0,14
1.10612135252602,0.0438027760114482,74,"ELF1","ELF1(-)",1.25089353957582,1.24706466246611,0.00382887710971147,0,56
1.09997669895805,0.0413834855026607,75,"NFE2L3","NFE2L3(+)",0.0585283561767349,-0.0115108353813455,0.0700391915580804,0,81
1.06973235940544,0.0292751334115981,76,"ETV6","ETV6(-)",1.09401227079878,1.07386616590148,0.0201461048973013,0.0583572615658544,67
1.01421077979032,0.00612822224278604,77,"MYC","MYC(+)",-0.244520254397857,-0.154827552223961,-0.089692702173896,0,6
1.00334815005122,0.00145165426750809,78,"ERF","ERF(-)",0.0159458923987714,-0.0128597755775348,0.0288056679763061,0,10
1.00081592447046,0.00035420701172914,79,"BPTF","BPTF(+)",0.0128321553149303,0.00214262689901111,0.0106895284159192,0,11
0.998292233681513,-0.00074230751294723,80,"FOXO1","FOXO1(-)",0.887865296079,0.939875879762056,-0.0520105836830559,0.0611665844125184,82
0.992804760599047,-0.00313614901845268,81,"FOXJ3","FOXJ3(-)",0.532724971150057,0.678528588430678,-0.145803617280622,0,6
0.984954446162647,-0.0065838550228773,82,"ETS1","ETS1(+)",0.0106479534336479,0.00191373708549642,0.00873421634815151,0,31
0.979061925780539,-0.00918983815168082,83,"TFDP1","TFDP1(+)",0.21682252761922,0.293015676097098,-0.0761931484778784,0,19
0.976807137005352,-0.0101911758949528,84,"TAF1","TAF1(+)",0.0951486504569597,-0.00381957612414498,0.0989682265811047,0.0290694703204855,236
0.953423517865077,-0.0207141396409269,85,"TBX19","TBX19(+)",0.0179281671271386,-0.0039797238848163,0.0219078910119549,0,10
0.947375080453802,-0.0234780430445615,86,"KLF9","KLF9(-)",0.388397472375322,0.482558969508405,-0.0941614971330821,-0.0274877291290197,60
0.946871333673303,-0.0237090314213356,87,"NFE2L1","NFE2L1(+)",0.000215930001077298,-0.00322173042671907,0.00343766042779637,0,3
0.942204479278234,-0.0258548354393305,88,"ELF4","ELF4(+)",0.0162320099344287,-0.00902266332884516,0.0252546732632739,0,10
0.939670638160077,-0.027024343309896,89,"FLI1","FLI1(+)",0.00227142403229565,-0.0540459834372653,0.0563174074695609,0,34
0.939151844365282,-0.0272641842636284,90,"ZBTB7A","ZBTB7A(-)",0.695880088939409,0.687273921859924,0.00860616707948469,0,10
0.932191740962764,-0.030494749150898,91,"MAFF","MAFF(-)",0.895516464956317,0.934152719815896,-0.0386362548595787,0,20
0.92463118029297,-0.0340314654286992,92,"ZNF281","ZNF281(+)",0.0756503694952836,0.111217607521038,-0.0355672380257546,0,8
0.91663222193049,-0.0378048802783951,93,"FOXJ3","FOXJ3(+)",0.064892684108544,-0.00708347231363452,0.0719761564221785,0,23
0.91507432377074,-0.0385436304224917,94,"POLR2A","POLR2A(+)",0.0288247031844454,-0.0429737354922767,0.0717984386767221,0,93
0.913681898945506,-0.0392049788596566,95,"MXI1","MXI1(+)",0.00856125206977628,-0.0971568233460824,0.105718075415859,0,26
0.90935203750563,-0.0412679557785397,96,"MECP2","MECP2(+)",0.095284435679556,-0.0271305172454234,0.122414952924979,0,66
0.90641670030273,-0.0426721013987343,97,"FOXK2","FOXK2(+)",0.0549846748052342,-0.0175727085224197,0.0725573833276539,0,98
0.895392322351631,-0.0479866338464936,98,"WRNIP1","WRNIP1(+)",-0.103311970513503,-0.112341442881162,0.00902947236765941,0,11
0.881133913248849,-0.05495808322763,99,"PPARD","PPARD(+)",0.00848386450385718,-0.0455716567940511,0.0540555212979083,0,24
0.878177700435021,-0.0564175951307181,100,"RUNX3","RUNX3(-)",0.347950158466928,0.376385634871883,-0.0284354764049553,0,15
0.848799462517656,-0.0711949041134191,101,"FLI1","FLI1(-)",0.210871036306544,0.231552573238405,-0.0206815369318609,0.0589294739871487,58
0.848692671402681,-0.0712495480096523,102,"TCF12","TCF12(+)",0.0451198273778717,-0.0761647352069056,0.121284562584777,0,26
